mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.5150214672088623,0.026898486825188576,0.02362518310546875,0.01023741759534886,5,sqrt,1,2,100,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.8404815650865313,0.8442437923250564,0.8239277652370203,0.8517682468021068,0.8230421686746988,0.8366927076250829,0.011383559814871986,67
0.9786407947540283,0.039680422883143905,0.034647893905639646,0.004211830764001259,5,sqrt,1,2,200,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.8412340105342363,0.8427389014296464,0.8261851015801355,0.8517682468021068,0.8260542168674698,0.8375960954427188,0.010039506917806057,49
1.4045355796813965,0.023930130173657204,0.05079684257507324,0.0014675837120460924,5,sqrt,1,2,300,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",0.8404815650865313,0.8404815650865313,0.8261851015801355,0.8525206922498119,0.8245481927710844,0.8368434233548188,0.010363603897157202,63
0.4587103843688965,0.003923363792471744,0.01780810356140137,0.0007447530213575548,5,sqrt,1,5,100,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",0.8397291196388262,0.8449962377727614,0.8239277652370203,0.8517682468021068,0.8237951807228916,0.8368433100347212,0.011266027172370541,65
0.934201431274414,0.028474905081393557,0.03179922103881836,0.0007482002542702918,5,sqrt,1,5,200,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",0.8412340105342363,0.8434913468773514,0.8254326561324304,0.8517682468021068,0.8260542168674698,0.8375960954427188,0.01029565448861695,49
1.3659972190856933,0.007611590384447591,0.04700589179992676,0.0008931992680905338,5,sqrt,1,5,300,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 300}",0.8397291196388262,0.8404815650865313,0.8269375470278405,0.8532731376975169,0.8253012048192772,0.8371445148539983,0.01022149446763457,61
0.4591969013214111,0.002563072503409501,0.017796945571899415,0.00039971929346264203,5,sqrt,3,2,100,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 2, 'n_estimators': 100}",0.8382242287434161,0.8449962377727614,0.8239277652370203,0.8510158013544018,0.8207831325301205,0.8357894331275441,0.01173391659772173,69
0.9141525268554688,0.008897524307642563,0.032683706283569335,0.0010850290715841077,5,sqrt,3,2,200,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 2, 'n_estimators': 200}",0.8427389014296464,0.8427389014296464,0.8246802106847254,0.8525206922498119,0.8245481927710844,0.8374453797129828,0.01106882797541736,53
1.4014365673065186,0.013893344491775879,0.052826452255249026,0.002112170402976162,5,sqrt,3,2,300,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 2, 'n_estimators': 300}",0.8397291196388262,0.8419864559819413,0.8269375470278405,0.8540255831452219,0.8245481927710844,0.8374453797129828,0.010747017877877041,53
0.47205610275268556,0.012483032949483802,0.018211984634399415,0.0007682188122366893,5,sqrt,3,5,100,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 5, 'n_estimators': 100}",0.8382242287434161,0.8449962377727614,0.8239277652370203,0.8510158013544018,0.8207831325301205,0.8357894331275441,0.01173391659772173,69
0.9843002796173096,0.013287393338696158,0.035794544219970706,0.0014727549842175496,5,sqrt,3,5,200,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 5, 'n_estimators': 200}",0.8427389014296464,0.8427389014296464,0.8246802106847254,0.8525206922498119,0.8245481927710844,0.8374453797129828,0.01106882797541736,53
1.4610872268676758,0.006914880175140496,0.05061106681823731,0.005491781113224764,5,sqrt,3,5,300,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 5, 'n_estimators': 300}",0.8397291196388262,0.8419864559819413,0.8269375470278405,0.8540255831452219,0.8245481927710844,0.8374453797129828,0.010747017877877041,53
0.4923527717590332,0.011456675845116004,0.018845796585083008,0.0011114560384998717,5,log2,1,2,100,"{'max_depth': 5, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.8404815650865313,0.8442437923250564,0.8239277652370203,0.8517682468021068,0.8230421686746988,0.8366927076250829,0.011383559814871986,67
0.9487809658050537,0.007422669760080235,0.032805585861206056,0.0008522442456339976,5,log2,1,2,200,"{'max_depth': 5, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.8412340105342363,0.8427389014296464,0.8261851015801355,0.8517682468021068,0.8260542168674698,0.8375960954427188,0.010039506917806057,49
1.5101983070373535,0.11082809864186459,0.06890616416931153,0.03272995860311564,5,log2,1,2,300,"{'max_depth': 5, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",0.8404815650865313,0.8404815650865313,0.8261851015801355,0.8525206922498119,0.8245481927710844,0.8368434233548188,0.010363603897157202,63
